date,sessions
2014-02-18,237
2014-02-19,263
2014-02-20,220
2014-02-21,146
2014-02-22,44
2014-02-23,59
2014-02-24,194
2014-02-25,209
2014-02-26,167
2014-02-27,203
2014-02-28,107
2014-03-01,33
2014-03-02,26
2014-03-03,199
2014-03-04,188
2014-03-05,186
2014-03-06,183
2014-03-07,134
2014-03-08,39
2014-03-09,31
2014-03-10,206
2014-03-11,194
2014-03-12,183
2014-03-13,189
2014-03-14,107
2014-03-15,38
2014-03-16,33
2014-03-17,291
2014-03-18,333
2014-03-19,275
2014-03-20,316
2014-03-21,84
2014-03-22,1
2014-03-23,1
2014-03-24,1
2014-03-25,0
2014-03-26,1
2014-03-27,0
2014-03-28,0
2014-03-29,1
2014-03-30,1
2014-03-31,225
2014-04-01,278
2014-04-02,267
2014-04-03,258
2014-04-04,184
2014-04-05,79
2014-04-06,73
2014-04-07,290
2014-04-08,312
2014-04-09,305
2014-04-10,266
2014-04-11,210
2014-04-12,45
2014-04-13,52
2014-04-14,286
2014-04-15,307
2014-04-16,311
2014-04-17,287
2014-04-18,198
2014-04-19,42
2014-04-20,29
2014-04-21,276
2014-04-22,287
2014-04-23,282
2014-04-24,285
2014-04-25,184
2014-04-26,29
2014-04-27,48
2014-04-28,310
2014-04-29,299
2014-04-30,321
2014-05-01,316
2014-05-02,260
2014-05-03,37
2014-05-04,51
2014-05-05,177
2014-05-06,185
2014-05-07,205
2014-05-08,220
2014-05-09,178
2014-05-10,105
2014-05-11,94
2014-05-12,203
2014-05-13,176
2014-05-14,179
2014-05-15,161
2014-05-16,70
2014-05-17,2
2014-05-18,1
2014-05-19,1
2014-05-20,2
2014-05-21,3
2014-05-22,2
2014-05-23,0
2014-05-24,2
2014-05-25,1
2014-05-26,3
2014-05-27,0
2014-05-28,0
2014-05-29,1
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,1
2014-06-04,1
2014-06-05,1
2014-06-06,0
2014-06-07,0
2014-06-08,3
2014-06-09,1
2014-06-10,2
2014-06-11,1
2014-06-12,1
2014-06-13,3
2014-06-14,2
2014-06-15,2
2014-06-16,3
2014-06-17,0
2014-06-18,2
2014-06-19,3
2014-06-20,1
2014-06-21,3
2014-06-22,2
2014-06-23,1
2014-06-24,2
2014-06-25,2
2014-06-26,3
2014-06-27,3
2014-06-28,2
2014-06-29,2
2014-06-30,3
2014-07-01,1
2014-07-02,4
2014-07-03,6
2014-07-04,1
2014-07-05,3
2014-07-06,1
2014-07-07,0
2014-07-08,1
2014-07-09,2
2014-07-10,0
2014-07-11,1
2014-07-12,2
2014-07-13,1
2014-07-14,2
2014-07-15,3
2014-07-16,2
2014-07-17,0
2014-07-18,1
2014-07-19,0
2014-07-20,1
2014-07-21,0
2014-07-22,1
2014-07-23,4
2014-07-24,3
2014-07-25,1
2014-07-26,3
2014-07-27,4
2014-07-28,1
2014-07-29,1
2014-07-30,2
2014-07-31,2
2014-08-01,1
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,2
2014-08-06,2
2014-08-07,2
2014-08-08,1
2014-08-09,2
2014-08-10,2
2014-08-11,1
2014-08-12,2
2014-08-13,2
2014-08-14,2
2014-08-15,2
2014-08-16,1
2014-08-17,1
2014-08-18,3
2014-08-19,1
2014-08-20,1
2014-08-21,1
2014-08-22,2
2014-08-23,0
2014-08-24,2
2014-08-25,0
2014-08-26,0
2014-08-27,2
2014-08-28,153
2014-08-29,142
2014-08-30,12
2014-08-31,32
2014-09-01,1
2014-09-02,312
2014-09-03,305
2014-09-04,321
2014-09-05,206
2014-09-06,74
2014-09-07,99
2014-09-08,339
2014-09-09,324
2014-09-10,323
2014-09-11,317
2014-09-12,272
2014-09-13,66
2014-09-14,102
2014-09-15,372
2014-09-16,359
2014-09-17,364
2014-09-18,364
2014-09-19,322
2014-09-20,78
2014-09-21,83
2014-09-22,372
2014-09-23,359
2014-09-24,1
2014-09-25,374
2014-09-26,300
2014-09-27,82
2014-09-28,90
2014-09-29,368
2014-09-30,388
2014-10-01,308
2014-10-02,329
2014-10-03,265
2014-10-04,60
2014-10-05,66
2014-10-06,397
2014-10-07,384
2014-10-08,352
2014-10-09,362
2014-10-10,228
2014-10-11,67
2014-10-12,80
2014-10-13,400
2014-10-14,394
2014-10-15,349
2014-10-16,351
2014-10-17,261
2014-10-18,57
2014-10-19,77
2014-10-20,407
2014-10-21,393
2014-10-22,338
2014-10-23,406
2014-10-24,290
2014-10-25,84
2014-10-26,89
2014-10-27,384
2014-10-28,399
2014-10-29,318
2014-10-30,343
2014-10-31,236
2014-11-01,68
2014-11-02,92
2014-11-03,336
2014-11-04,395
2014-11-05,323
2014-11-06,346
2014-11-07,259
2014-11-08,45
2014-11-09,76
2014-11-10,313
2014-11-11,5
